OCCUPATION,Current monthly rent,How long have you stayed at this PG? (in months),"Overall, how would you rate the physical amenities (room, furniture, Wi-Fi, food) at this PG?",How would you rate the security of the PG?,"When you last raised a complaint, how long did it take to resolve?",How many complaints have you raised in the last 3 months?,Is your security deposit fully refundable based on what you've seen/heard from others who left?,Do you feel your rent is fair compared to similar PGs nearby?,"Overall, how satisfied are you with this PG?",Do you intend to renew/continue your stay at this PG beyond your current term?,What's the single biggest reason for your answer above?
WORKING PROFESSIONAL,6500,21.8,4,4,same day,0,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,5000,28.5,3,4,over a week,2,Not sure,fair,4,No,There are too many maintenance and service issues.
WORKING PROFESSIONAL,14000,3.6,4,3,same day,1,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,9.2,4,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,16000,36.0,4,3,over a week,1,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,15500,36.0,5,4,no complaints raised,0,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,1.0,5,5,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,20.1,3,3,no complaints raised,0,"Yes, straightforward",fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,18000,10.1,5,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,18000,6.2,2,5,few days,2,"Yes, straightforward",fair,3,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,10500,20.6,5,5,no complaints raised,1,"Yes, straightforward",overpriced,5,Yes,It is convenient for my college or workplace.
STUDENT,5000,33.2,4,4,no complaints raised,2,"Yes, straightforward",fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,23.0,4,3,no complaints raised,2,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
STUDENT,7000,11.7,4,4,no complaints raised,1,"Yes, straightforward",fair,4,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,24.0,4,5,few days,0,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,11.1,4,3,same day,1,"Yes, straightforward",fair,4,No,There are too many maintenance and service issues.
STUDENT,18000,22.5,4,3,same day,0,"Yes, straightforward",fair,4,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,9500,36.0,5,4,no complaints raised,1,Not sure,fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,18000,1.0,4,3,same day,0,"Yes, straightforward",underpriced,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,11500,28.1,3,4,few days,0,"Yes, straightforward",fair,4,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,5500,1.0,5,5,few days,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,34.4,4,3,same day,0,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,18000,7.1,4,4,same day,1,"Yes, straightforward",fair,4,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,5000,1.0,5,4,no complaints raised,1,Disputes are common,fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,26.6,4,4,same day,0,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,5000,21.8,4,3,few days,2,Not sure,fair,4,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,5000,1.7,4,4,same day,1,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,1.0,2,4,few days,1,"Yes, straightforward",fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5500,13.7,4,5,same day,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,1.0,5,4,same day,2,Not sure,fair,4,Maybe,"The PG is convenient, although some amenities need improvement."
STUDENT,18000,1.0,4,3,same day,2,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,18.1,3,4,over a week,2,"Yes, straightforward",fair,4,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,2.2,5,4,same day,2,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,22.7,4,5,same day,0,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,36.0,3,4,same day,3,"Yes, straightforward",fair,5,No,There are too many maintenance and service issues.
WORKING PROFESSIONAL,11500,14.2,5,3,same day,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,14500,18.3,3,4,same day,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,36.0,5,4,same day,1,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,18000,1.0,3,4,few days,0,Not sure,fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,11500,33.9,4,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,32.1,3,4,same day,1,"Yes, straightforward",fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,5000,29.0,3,4,same day,2,Not sure,fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,5000,35.4,4,4,same day,4,"Yes, straightforward",fair,4,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,9500,20.5,4,4,few days,2,"Yes, straightforward",fair,3,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,18000,7.8,5,3,same day,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,13500,32.5,4,4,same day,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,33.0,5,4,never resolved,4,"Yes, straightforward",underpriced,4,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,13000,32.6,4,3,same day,0,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,6000,17.1,4,5,same day,3,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,14500,5.9,3,4,few days,0,Not sure,fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,17500,19.2,4,4,no complaints raised,0,Disputes are common,fair,3,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,30.2,4,4,same day,0,Not sure,fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,10000,31.5,4,5,no complaints raised,0,Not sure,fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,10.1,4,3,same day,2,Not sure,overpriced,4,No,Maintenance issues take too long to resolve.
WORKING PROFESSIONAL,18000,21.0,3,4,same day,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,1.0,4,3,few days,0,Disputes are common,fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,18000,30.9,4,5,few days,0,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,14500,4.9,3,4,no complaints raised,1,Not sure,fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,27.9,5,5,no complaints raised,3,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,18000,1.0,3,4,same day,1,Not sure,fair,4,No,The overall facilities do not justify the rent.
WORKING PROFESSIONAL,18000,31.6,4,5,no complaints raised,0,Disputes are common,overpriced,5,No,The food quality is not satisfactory.
WORKING PROFESSIONAL,10000,21.1,5,4,same day,0,Not sure,fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,5000,4.9,5,5,no complaints raised,0,Not sure,fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,8000,26.6,5,3,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,7.7,3,5,no complaints raised,1,Not sure,overpriced,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,18000,27.4,5,3,same day,0,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,17500,12.4,5,4,same day,2,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,11500,1.0,3,4,same day,2,"Yes, straightforward",fair,4,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,18000,2.0,4,3,same day,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,6500,10.1,5,3,same day,1,Not sure,fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,18000,36.0,5,4,few days,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,6500,29.6,3,4,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,15500,36.0,3,4,few days,3,"Yes, straightforward",fair,4,No,I found better accommodation options nearby.
STUDENT,9000,36.0,4,4,no complaints raised,0,"Yes, straightforward",underpriced,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,9500,8.6,2,4,same day,1,"Yes, straightforward",fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5500,13.6,4,4,same day,0,"Yes, straightforward",fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,18000,10.4,5,4,same day,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,6.5,3,4,no complaints raised,2,Disputes are common,fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,1.0,4,5,same day,5,Not sure,fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,18000,16.2,4,5,same day,3,"Yes, straightforward",fair,4,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,1.0,5,4,few days,1,"Yes, straightforward",fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,15.9,4,4,same day,1,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,36.0,5,4,no complaints raised,2,Disputes are common,fair,5,No,Maintenance issues take too long to resolve.
WORKING PROFESSIONAL,5000,8.9,4,4,same day,2,Not sure,fair,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,19.3,5,5,few days,1,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,29.7,4,3,no complaints raised,2,"Yes, straightforward",fair,4,No,There are too many maintenance and service issues.
WORKING PROFESSIONAL,8500,20.5,4,3,same day,1,Not sure,fair,5,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,5000,20.7,3,3,few days,0,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,11000,11.1,4,5,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,5000,13.0,4,4,few days,3,Not sure,overpriced,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,11500,2.3,3,4,over a week,0,Not sure,fair,4,No,There are too many maintenance and service issues.
WORKING PROFESSIONAL,5000,28.8,5,4,same day,1,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,18000,1.0,4,5,same day,2,Disputes are common,fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,30.7,5,4,no complaints raised,0,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,18000,1.0,4,4,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
STUDENT,6000,30.5,4,5,few days,3,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,18000,11.2,4,4,same day,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,5000,1.0,4,4,same day,4,Not sure,fair,5,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,5000,24.9,5,4,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,9000,30.0,4,4,same day,3,Not sure,fair,4,No,I found better accommodation options nearby.
STUDENT,18000,10.0,3,4,same day,3,Not sure,fair,3,No,The overall facilities do not justify the rent.
STUDENT,7500,27.0,5,4,same day,4,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,8000,1.0,4,4,same day,1,"Yes, straightforward",fair,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,5000,1.0,3,5,no complaints raised,2,Not sure,fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,18000,35.4,2,3,same day,1,"Yes, straightforward",fair,3,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,18000,13.1,4,5,same day,1,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,1.0,3,3,no complaints raised,4,"Yes, straightforward",fair,3,No,The food quality is not satisfactory.
WORKING PROFESSIONAL,5000,6.1,4,5,few days,1,"Yes, straightforward",fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,5000,2.8,3,4,same day,1,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,14.0,4,5,no complaints raised,2,Not sure,fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,11500,11.0,4,4,same day,1,"Yes, straightforward",fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,5000,19.0,5,3,few days,2,"Yes, straightforward",fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,5000,15.4,5,5,never resolved,2,Not sure,fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,36.0,5,5,same day,1,Disputes are common,fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,22.6,4,5,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
STUDENT,5000,23.1,5,4,same day,0,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,16000,33.5,4,5,never resolved,0,"Yes, straightforward",overpriced,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,11000,10.7,5,3,same day,0,"Yes, straightforward",fair,4,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,6500,1.0,4,3,no complaints raised,2,"Yes, straightforward",fair,4,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,12500,34.1,3,3,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,18.4,2,3,same day,1,"Yes, straightforward",fair,4,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,11500,18.5,5,4,same day,1,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,12000,7.1,4,4,same day,1,Not sure,fair,4,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,7.3,4,4,no complaints raised,0,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,28.8,5,4,few days,2,"Yes, straightforward",underpriced,4,No,There are too many maintenance and service issues.
WORKING PROFESSIONAL,5000,30.9,3,3,few days,0,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,11500,27.9,4,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,18000,28.1,4,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,18000,24.8,5,4,same day,1,Not sure,fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,10500,18.3,3,5,no complaints raised,6,Not sure,fair,4,No,The complaint resolution process needs improvement.
WORKING PROFESSIONAL,5500,13.8,3,4,same day,1,"Yes, straightforward",fair,4,No,The amenities need improvement.
WORKING PROFESSIONAL,18000,34.2,3,4,same day,1,"Yes, straightforward",underpriced,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,10.9,5,5,no complaints raised,2,Not sure,overpriced,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,5000,21.8,3,3,same day,1,Not sure,underpriced,4,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,4.6,4,4,same day,1,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,5000,6.7,5,5,few days,2,Not sure,fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,12000,12.9,3,4,no complaints raised,1,"Yes, straightforward",fair,3,No,I found better accommodation options nearby.
WORKING PROFESSIONAL,9000,4.6,3,3,same day,3,"Yes, straightforward",fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,28.1,3,4,same day,3,"Yes, straightforward",fair,2,No,I found better accommodation options nearby.
STUDENT,15000,1.0,4,4,few days,0,"Yes, straightforward",fair,4,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,18000,17.9,4,3,same day,0,Not sure,fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,18.4,4,3,few days,1,Disputes are common,fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,18000,1.0,4,5,same day,2,"Yes, straightforward",fair,5,Maybe,"The location is good, but the rent could be better."
STUDENT,5000,9.9,3,4,no complaints raised,0,Not sure,fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,20.2,3,5,same day,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,22.7,5,5,no complaints raised,4,"Yes, straightforward",fair,4,No,The rent is high compared with other PGs nearby.
WORKING PROFESSIONAL,13000,13.4,5,4,no complaints raised,1,"Yes, straightforward",underpriced,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,5000,26.3,5,4,no complaints raised,1,Disputes are common,fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,7000,14.8,4,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,16000,16.6,4,5,same day,2,Not sure,fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,20.1,4,5,few days,1,"Yes, straightforward",fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,30.0,5,4,same day,1,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,6.5,4,4,same day,1,"Yes, straightforward",underpriced,4,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,9000,9.3,4,5,same day,1,Not sure,fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,5000,6.6,4,4,same day,1,"Yes, straightforward",overpriced,5,No,Maintenance issues take too long to resolve.
WORKING PROFESSIONAL,11000,11.5,5,5,same day,1,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,36.0,4,4,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,18000,24.8,4,4,no complaints raised,2,Not sure,fair,4,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,18000,1.0,3,3,same day,1,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,15500,7.6,4,4,over a week,2,"Yes, straightforward",fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,12500,21.9,3,4,same day,1,"Yes, straightforward",fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,5000,3.1,4,5,few days,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,5.8,4,3,same day,3,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,36.0,2,4,same day,1,Not sure,underpriced,4,No,The overall facilities do not justify the rent.
WORKING PROFESSIONAL,5000,7.4,4,3,no complaints raised,2,Not sure,fair,3,No,I am looking for a PG with better facilities.
WORKING PROFESSIONAL,5000,30.4,3,4,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,5000,34.8,4,4,no complaints raised,2,Disputes are common,fair,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,10000,5.6,5,3,few days,2,Not sure,fair,3,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,18000,3.3,4,3,no complaints raised,0,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
